title,author,description,price,quantity,availability,isbn
"Soil Mechanics of Earthworks, Foundations and Highway Engineering",Unknown Author,Elsevier Science,473,1,false,978-0278944613
"Foundation Engineering: Design and Construction in Tropical Soils (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",B.B.K. Huat,Taylor & Francis,402,7,false,978-6398374116
"Practical Problems in Soil Mechanics and Foundation Engineering, 2 Wall and Foundation Calculations, Slope Stability",Sheng Y. Peng,Elsevier Science Ltd,751,8,true,978-8442976586
"Underwater Embankments on Soft Soil A Case History: A Case History (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",William F. van Impe,Detailed description of this engineering book is currently unavailable.,439,4,false,978-0384275773
Eco- and Ground Bio-Engineering: The Use of Vegetation to Improve Slope Stability: Proceedings of the First International Conference on Eco-Engineering ... (Developments in Plant and Soil Sciences),Alexia Stokes,Detailed description of this engineering book is currently unavailable.,824,8,true,978-6806354663
"Education and Training in Geo-Engineering Sciences: Soil Mechanics and Geotechnical Engineering, Engineering Geology, Rock Mechanics",Iacint Manoliu (Editor),CRC Press,789,1,true,978-8280460932
"Soil and Water Contamination: From molecular to catchment scale (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",Marcel van der Perk,Detailed description of this engineering book is currently unavailable.,454,8,true,978-6204235774
Principles of Thermodynamics,Jean-Philippe Ansermet,Cambridge University Press,430,1,false,978-8884380829
Thermodynamics: An Engineering Approach 8th Edition,Yunus A. Çengel,McGraw-Hill Education,522,4,false,978-3729599221
Thermal Physics: Thermodynamics and Statistical Mechanics for Scientists and Engineers,Robert F. Sekerka,Elsevier,164,10,false,978-3647771440
A Student's Guide to Entropy,Don S. Lemons,Cambridge University Press,461,7,true,978-8279709523
"Energy, entropy and engines : an introduction to thermodynamics",Chandra,John Wiley & Sons,668,1,false,978-3775744510
"Fundamentals of Physics: Mechanics, Relativity, and Thermodynamics",R. Shankar,Yale University Press,933,8,false,978-9446606798
Introduction to Chemical Engineering Thermodynamics,J.M. Smith,McGraw-Hill Education,939,7,true,978-6073519140
Statistical Mechanics Made Easy: A Guide for Students and Researchers,Daniel C. Mattis,World Scientific Publishing Company,671,8,false,978-2232115350
Entropy demystified: the second law of thermodynamics reduced to plain common sense,Arieh Ben-Naim,World Scientific Publishing Company,942,8,true,978-1920330500
Instructor Solutions Manual for Thermodynamics: An Engineering Approach,Yunus A. Çengel,McGraw-Hill Education,787,8,true,978-3625436390
"THERMODYNAMICS: AN ENGINEERING APPROACH, NINTH EDITION",Çengel,McGraw-Hill,567,1,false,978-6247637547
Statistical Mechanics,R. K. Pathria,Academic Press,243,7,true,978-8442766461
An Introduction to Thermal Physics,Daniel V. Schroeder,Addison - Wesley,498,8,true,978-5330263804
"Introduction to Statistical Physics, Second Edition",Kerson Huang,Chapman and Hall/CRC,272,1,true,978-0105121033
Fundamentals of Thermal-Fluid Sciences,Yunus A. Çengel,McGraw-Hill Education,732,2,true,978-1900316387
Thermodynamics For Dummies,Mike Pauken,"Wiley Publishing, Inc",365,7,true,978-4748580849
Fundamentals of Engineering Thermodynamics,Michael J. Moran,Wiley,250,6,true,978-1145448276
The thermodynamics problem solver,The Staff of REA,Research & Education Association,322,9,true,978-8112802268
The Laws of Thermodynamics: A Very Short Introduction,Peter Atkins,Oxford University Press,852,7,true,978-6442589584
Theoretical Physics 5: Thermodynamics,Wolfgang Nolting (auth.),Springer International Publishing,260,8,true,978-1802704993
"Tropical Fruits, Volume 1 (Crop Production Science in Horticulture, Volume 20)",Robert E Paull,CABI,901,8,true,978-6930763267
"Grapes (Crop Production Science in Horticulture, Volume 16)",G.L. Creasy,CABI,336,1,true,978-0652425097
Soil Microbiology and Sustainable Crop Production,Andrew D. Noble,Springer Netherlands,616,3,true,978-7123343624
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Md. Asaduzzaman,InTech,794,6,false,978-1353385052
"Carrots and Related Vegetable Umbelliferae (Crop Production Science in Horticulture, Volume 10)",C F Quiros,CABI,766,3,true,978-2188579807
